artifact,git_sha,sha256,source,status
classical_tuning_history.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,d87b6c87167b5a18854249ab700ee4f11e3d26bcd07aeb5513a4fb29519aaec2,hvac_pid/pipeline.py:run_pipeline,ok
fopdt_fit_history.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,3559667c54c01033b6ef19047e9fc85efab0ea9d8eecf7575b643743b6ff7fa5,hvac_pid/pipeline.py:run_pipeline,ok
training_scenarios.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,dc95602a6a445828190806c9bd734c360d8f1272fd99f94ee2d64a5e07348b58,hvac_pid/pipeline.py:run_pipeline,ok
validation_scenarios.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,843f2674d8f87bf5a6a7cd3656eea164364fc793bcd56b5b51576634dd613018,hvac_pid/pipeline.py:run_pipeline,ok
dataset_manifest.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,5f12bacb74564cea0d32e431f23344ab8282d0a44ab7ed9eae8b403163dde026,hvac_pid/pipeline.py:run_pipeline,ok
holdout_scenarios.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,b1fc6bd47c036a429a7b54781652b3f91db299f6420944356b17d4d02ad78706,hvac_pid/pipeline.py:run_pipeline,ok
imc_lambda_tuning.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,0437d1cbf9b4a11e003e870cac019a49ed6de27c9dbe51b0965601e4c1b633e4,hvac_pid/pipeline.py:run_pipeline,ok
global_bayesian_tuning.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,92f9fe35148156a4bbac145efa83e86b263660574ad9b467a268857a7eba10ed,hvac_pid/pipeline.py:run_pipeline,ok
bo_policy.json,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,d187682aff2e03448413de96e7751fde504220bf527507f8a3348e8395509e31,hvac_pid/pipeline.py:run_pipeline,ok
safe_bo_history.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,7398f9cdd8b07f427a36d8a6959497d660c452232b09f16bd96650cf21303baa,hvac_pid/pipeline.py:run_pipeline,ok
safe_bo_policy.json,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,316a798cd6eafd87a82f28c7d5938f871d4929754af9204c42aa8ee167428f6c,hvac_pid/pipeline.py:run_pipeline,ok
fnn_training_history.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,686de3e356aaee33387447ae2c661934c664c313a888b87fd9030c7ec5b49709,hvac_pid/pipeline.py:run_pipeline,ok
fnn_rule_table.npy,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,a9da6c5292ce13798e7b58f9b79fdbd11be1a9eca2ba20c5e5c8eff6d4f57bcb,hvac_pid/pipeline.py:run_pipeline,ok
fnn_context_coefficients.npy,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,2408d8f33e4a7452aeb5783da8b65bfc14a10fcde9b33a7d9f1fc9c31b01d02e,hvac_pid/pipeline.py:run_pipeline,ok
rl_training_history.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,19d9fdd1134e0d12163411bcf4ed526af3fbcebad534c0a4b48c1e3268662062,hvac_pid/pipeline.py:run_pipeline,ok
rl_q_table.npy,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,6a99e54de3668ddb5be0ac66f03421fafa76b2ac7e3748be95bdca8636ac4c4c,hvac_pid/pipeline.py:run_pipeline,ok
rl_covered_mask.npy,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,78edbf1f294f65b69f0484afa04f00f6c485f2c8c72157ee3bb58f52b459091d,hvac_pid/pipeline.py:run_pipeline,ok
holdout_metrics.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,a7a6c2f9e4dd0243cc2d54cde80b6b8f189dc9e43676d8ee17d56a598877865c,hvac_pid/pipeline.py:run_pipeline,ok
holdout_summary.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,4c45d322977b62f092a8388646983a67e71e1c03dcc7ae3858497dcd10c96bc9,hvac_pid/pipeline.py:run_pipeline,ok
deployment_acceptance.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,62de68bf5b1b324837fc648298ffc561de32e0224739aad7787b3c103014e134,hvac_pid/pipeline.py:run_pipeline,ok
physical_cross_validation.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,ba256b55411d55f9b6b56965cdb33e448ff22923ec719113ac30929a13be2134,hvac_pid/pipeline.py:run_pipeline,ok
fopdt_cross_validation.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,b0d5b4cc6b050b60630421e5fb6a5a944a735197e36f86dc080c7d0000982392,hvac_pid/pipeline.py:run_pipeline,ok
openmodelica_cross_validation.csv,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,MISSING,hvac_pid/pipeline.py:run_pipeline,MISSING
manifest.yaml,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,ee4caa461fcc11a685ca65def2130466ddfad157dee1d0fb2b638c2bac7dfd8c,hvac_pid/pipeline.py:_write_run_manifest_and_provenance,ok
environment.json,8f3fd5f21df6c1c14e6c1406b0377a3b7bd1d92c,00c000a67c9fee69ed022fd65cf87adb37d6ca0856669b182340f9f36b146d4e,hvac_pid/pipeline.py:_write_run_manifest_and_provenance,ok
