scenario,dt_minutes,duration_hours,setpoint_c,initial_zone_c,outdoor_c,outdoor_amplitude_c,outdoor_peak_hour,internal_load_w,occupied_load_add_w,occupied_start_hour,occupied_end_hour,door_open_hour,door_open_duration_minutes,door_open_load_w,setpoint_change_hour,setpoint_after_c,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,sensor_noise_std_c,sensor_filter_tau_minutes,command_slew_rate_per_minute,command_quantization,minimum_running_command,minimum_on_minutes,minimum_off_minutes,integration_substeps
1,1.0,5.0,23.278898474825727,24.362665755809715,37.73716132577655,1.4379720625047572,5.696869760125038,1426.988193800786,0.0,1.0,4.0,,0.0,0.0,2.932204732660707,25.05870659651271,1596583.420167554,10476714.321075324,0.009189500735613625,0.004856274614649712,0.029635263062080388,6971.422431749437,11.265385766710088,9.588084454582948,0.06587241735102795,2.0,0.05,0.01,0.25,5.0,3.0,6
2,1.0,5.0,23.57043966243633,23.52588638274604,32.27802419627159,0.04071936470809795,6.892356707490412,383.4407344233631,0.0,1.0,4.0,,0.0,0.0,0.8975710707035786,21.97387512197241,2927651.496130958,20157908.228338197,0.019340942161923863,0.006211749141462221,0.015046416395402907,8693.255890834054,10.50765270264642,8.229757860338957,0.06710902476750652,2.0,0.05,0.01,0.25,5.0,3.0,6
3,1.0,5.0,23.006718585964716,24.029960148410957,33.813198752406336,1.768544197826766,4.658071530473807,647.2507310875401,0.0,1.0,4.0,,0.0,0.0,,,1723521.7869360796,21273736.10749919,0.017557866903484584,0.009817974502363274,0.018870656278329005,8826.68848276226,2.7827335521549204,5.55606641782691,0.0645081713889406,2.0,0.05,0.01,0.25,5.0,3.0,6
4,1.0,5.0,25.176649485628776,25.577294590779477,35.464829287294435,1.7649270551791445,3.2726537222219374,1383.808598694093,0.0,1.0,4.0,2.4487114650452853,32.003772146861124,3470.039311438608,,,1353754.4259804091,10638270.81114227,0.014625094894135562,0.007651262304550357,0.017020619855086308,8862.962089136505,3.4464811503296127,2.5550676789178217,0.04300182570438789,2.0,0.05,0.01,0.25,5.0,3.0,6
5,1.0,5.0,24.995064151786902,20.35098101205824,28.072632900569964,2.365044194151441,2.2093478378195828,1159.1039360838317,0.0,1.0,4.0,,0.0,0.0,0.3613289616869718,23.92184940054217,2782745.159041412,10655691.781651285,0.017542727790384533,0.005998572880248049,0.013659563698735593,6760.8905154758395,2.356264085715685,4.780121084868398,0.04842990603115651,2.0,0.05,0.01,0.25,5.0,3.0,6
6,1.0,5.0,23.833746181580565,27.89526342904463,37.83131604201177,0.4994375015107341,2.605667042966747,1083.6509899088333,0.0,1.0,4.0,,0.0,0.0,,,2878908.9728682186,10623562.730654381,0.013826443172814899,0.006868066261205535,0.030348974193946592,10113.3285993798,2.3667179549826027,5.788278992193116,0.06387603315419926,2.0,0.05,0.01,0.25,5.0,3.0,6
7,1.0,5.0,24.46726242065769,25.927470414669806,38.46391819610496,2.3658199615335564,3.3930981426404077,378.4695384035315,0.0,1.0,4.0,,0.0,0.0,1.8516431089008354,26.530655566937636,2572348.68318127,19900319.37151603,0.01566553683334041,0.007017045551876852,0.013780681403017211,8752.224947687615,9.987968330744016,3.8447361923762404,0.0299053729287011,2.0,0.05,0.01,0.25,5.0,3.0,6
8,1.0,5.0,23.05354325295145,23.027180423967774,37.469566527729185,3.377261689996229,3.931451455263055,1240.5807468161734,0.0,1.0,4.0,,0.0,0.0,1.195097501170967,21.36890425858458,1706139.2415631125,18440591.117022943,0.014342310788757522,0.004851863359536492,0.028224329542956453,5700.809298142116,11.595350778006667,7.200213570544407,0.026926356710187616,2.0,0.05,0.01,0.25,5.0,3.0,6
9,1.0,5.0,23.080974196064457,19.415922151656183,35.24558311782935,0.05474187734069197,5.695755904334667,888.1225118881957,0.0,1.0,4.0,,0.0,0.0,0.4456192649975107,21.884488321372345,1749775.9798078025,12648488.531363554,0.014539653324264665,0.010303846138476421,0.02530360663415416,9850.457323324705,9.20607765867994,7.223397881652472,0.04736197790837026,2.0,0.05,0.01,0.25,5.0,3.0,6
10,1.0,5.0,25.051463610794354,26.74085594917858,34.60128446318888,2.221578804497278,7.517322881387672,1117.9070788761635,2021.4858125562846,1.8155296010053887,3.5983515418322676,,0.0,0.0,,,1396083.6097214832,8668928.619629033,0.009103766897703515,0.005869062958307912,0.018051279940756806,6439.708224699805,4.63563185939152,5.601684452141212,0.03689502045720188,2.0,0.05,0.01,0.25,5.0,3.0,6
